,RT,m/z,polarity,ID,molec_class,Features Found,1700s_extract_blank_rep1,1700s_extract_blank_rep2,1700s_extract_blank_rep3,1700s_QCdil_025,1700s_QCdil_050,1700s_QCdil_100,1700s_QC1,1700s_QC2,1700s_QC3,1700s_QC4,1700s_QC5,1700s_QC6,1700s_QC7,1700s_QC8,1700s_QCdil_150,1700s_QCdil_200,1700s_resuspension_blank_rep1,1700s_resuspension_blank_rep2,1700s_water_blank_rep1,1700s_water_blank_rep2,1727_27_RBG,1727_28_RBG,1727_29_RBG,1728_27_RBG,1728_28_RBG,1728_30_RBG,1731_30_RBG,1731_31_RBG,1731_32_RBG,1732_27_RBG,1732_28_RBG,1732_29_RBG,1735_29_RBG,1735_30_RBG,1735_31_RBG,1741_26_RBG,1741_27_RBG,1741_28_RBG,1742_32_RBG,1742_33_RBG,1742_34_RBG,1743_31_RBG,1743_32_RBG,1743_33_RBG,1746_30_RBG,1746_31_RBG,1746_32_RBG,1748_29_RBG,1748_30_RBG,1748_31_RBG,1754_30_RBG,1754_31_RBG,1754_32_RBG,qc_rsd,qc_dil_mse,is_monotonic,is_id,superclass
vl_6,0.703,287.05676,+,Unidentified,Unidentified,51,13.891960453854814,13.875590634718355,13.951896715000478,23.224393892436698,23.929696671404702,24.554796403852713,23.675316417462504,24.160449221830852,24.182380287811636,24.199184542926655,23.83213883936796,23.973376549030668,24.039257150661392,24.356348995596566,24.77999057396996,25.012018984702905,13.92799638923854,13.911613934009111,14.166798343045581,13.601562213845524,23.667729770310764,23.77939473783882,24.04347325273774,23.354691931694155,22.908658759714132,23.718631273141998,24.067864909531423,24.522444766844984,24.74830207299106,24.993825906258554,24.474217379868236,25.336758148523963,24.701554589780404,24.57573928411079,24.554686475952458,24.695873586223225,24.166188076357052,24.50464760844728,24.659353292214643,24.87078399906578,24.275074254360458,24.72116948580528,24.54841718160009,24.309357600181087,23.992981205796323,24.24036730298346,24.49685785253547,24.447664256849738,23.83344596401263,23.860861400697132,24.56161498827286,24.819139665298426,24.34248772662038,13.126279031975962,0.20259571385701514,True,False,Unidentified
vl_11,0.706,247.09293,-,Unidentified,Unidentified,53,14.076268331133482,14.972670160625947,14.172501939444412,23.709328776448057,24.852098362564455,25.432677878287546,25.21312846511691,24.712160199322692,24.97444177956973,24.888745381106315,24.89912543744266,25.118606806922244,25.180264348183265,25.20779922271141,25.90269878447444,26.13657634160023,14.0638313361905,14.329295155660008,14.124461510527606,14.075318685031517,24.440677325047822,24.846923721680213,25.260291818634887,24.807312345048516,23.528163949784656,24.680641214110228,25.339700686468504,25.049550748156197,25.628816435933057,26.01648639295463,25.547598101775048,26.324795433263127,25.909299435835454,25.613836932455822,25.55104180500517,26.04478108547827,25.546383896610937,25.848984989947233,25.83615832013671,25.43863467039622,25.33032256571856,25.790685517586592,25.67089567529421,25.512198642850837,24.959820126049287,24.604703656794083,25.16263094003991,25.507771703244423,24.46218776709687,25.056897386300914,25.395429995251053,26.08058494689232,25.063373730482635,12.402181331347634,0.07066911482535372,True,False,Unidentified
vl_16,0.709,426.99759,-,Unidentified,Unidentified,19,13.754865092418665,13.734584870182207,13.909297281988366,23.13495372958033,23.62071554434758,24.308361922204945,24.529184873696035,24.294165326076378,24.57166476071478,24.263289721933422,24.239439507409536,24.20655458947997,24.21073117960341,24.16229980054386,25.251131114257007,25.485461009852703,13.728865964812977,13.806214356810463,13.861256853799148,13.812114027746937,23.871338612854537,24.063050287705018,24.214676261358147,24.49156442051295,24.0328226877955,23.76078676895292,24.279088432148942,24.206414167069802,24.30273094054306,24.45775108222039,24.499807684268184,24.903940643297382,24.564648153714874,24.764462314560244,25.058161651385305,24.79697672091623,25.160753797680986,25.113268618053766,25.273074114591402,25.131868235677732,24.435912997892217,25.242448020762968,24.88193384782208,24.842700505680817,24.22701544936563,24.450224189816655,24.912954647942584,24.544014617114335,24.395735772763754,24.285634822872606,24.55005895206698,25.129216478415586,24.7624442393032,11.069220541128992,0.18803633658259683,True,False,Unidentified
vl_19,0.715,293.09964,+,Unidentified,Unidentified,79,14.587984352823582,15.851096010706174,17.73096947591733,27.486901449489146,28.697679122834263,29.645369865015585,29.410841489670652,29.316973307257097,29.473120458425974,29.361100162949718,29.172968329353267,29.039797576264178,29.102027343779767,28.73143489618112,30.297682542836444,30.33787227849867,14.815578510788384,15.19621351006467,15.205199971408478,13.762359591421859,28.356154126783117,29.154788313913024,29.2495950528272,29.10252131032298,28.78566051703708,28.707636888905718,29.216474473432744,29.286578919039343,29.4826514827994,30.058889907240918,29.63692282190789,30.688677597646173,29.796310785760607,29.696341077757225,29.808420733358478,29.979437729353517,29.90845587370997,29.592946434008063,30.237496765883378,30.2751916980844,29.356327840422953,29.76926370542944,29.820520044889086,29.962073882944647,29.152987825392213,29.5536674908266,29.579571506445955,29.470404940281373,29.54139004584222,28.858724142940567,29.724614742177586,30.303536203567674,29.635533990749312,11.255436442760706,0.025386851896428853,True,False,Unidentified
vl_60,0.762,514.28418,-,Unidentified,Unidentified,22,17.274715563804882,17.58545698927434,17.806499879967777,21.18413146366549,22.898340910046194,24.116552467033515,24.06245284799725,23.720953367538822,23.72454313251125,23.692027145146255,23.625747537683285,23.644498796407923,23.78447185156383,22.366956776219645,24.56211270481551,25.53010368718615,16.933001817544763,17.42603999514336,14.449501282131743,15.167407535711584,23.45358719386994,23.118768901033256,24.757630953738595,22.8410176296718,24.078661092071588,25.004760540959975,22.729032027561853,22.036032209927107,21.882598399884884,24.95276298553294,26.049204356938766,25.53534609652514,25.261350178022113,25.043091210957616,26.072519274256752,24.604684948465863,24.036488351269508,25.142432444738333,21.1239740949693,21.66597553340922,20.77157098059018,22.143949046448743,22.25639363727493,22.53520425288825,23.32443311513478,21.70060281606457,22.430058045519928,23.322534999416405,22.259844654384146,23.801439133148254,23.230813994486077,21.7604627052878,22.551999256546203,10.96687214431175,0.2214986540203617,True,False,Unidentified
vl_84,0.782,276.14618,+,Unidentified,Unidentified,70,16.554090126367942,16.9346427990007,16.575416803267064,22.712100028003587,24.200795426487304,25.47823727745448,25.110448652451275,24.877361105542573,24.965852700219866,25.000057881907708,25.38457676528214,24.958715608711927,24.923676895477517,24.450015574466054,26.10626851239521,25.84831882526394,16.330751935347763,16.84273903194639,14.306207801197116,15.053142181731298,27.311326990503623,25.360825989477743,26.445919263585708,26.960894483656944,26.60676460915389,27.185102044921862,25.973199902857424,26.25112451470582,25.443093870538302,26.00136896901042,26.985574401239017,25.642262037893264,26.148141563237683,26.35533105723478,26.1729386187496,25.794652012507974,26.381012339458227,26.14910758094572,25.590918398956582,25.798710293206987,25.54322739060204,26.424691230157023,26.010600891238937,25.665862862726954,26.50404900605467,25.8370693566441,27.699625799611297,25.8367632168727,24.906784079694916,25.998378418193884,26.433192278309722,26.354094166990947,26.265218267625475,12.832607240776452,0.21251784185098366,False,False,Unidentified
vl_131,0.797,643.38495,+,Unidentified,Unidentified,17,22.279788705770503,22.766863062421134,22.868661793903254,21.927190206999775,22.096066876553884,23.66124310506149,22.777812036463985,23.096630710936232,22.79645224935345,23.099218624093538,22.97105269841753,22.93228572043263,22.69185905652277,20.935035356180656,23.704309910643143,24.329734293948853,17.253887167601654,16.874546535098773,14.306446435143723,15.053380815116077,23.137993314092142,23.54849803521953,23.30206749328622,23.291253329436138,23.752561340748134,23.746216647485728,23.61492510550371,23.87570435626991,24.404978754516936,24.070113299095603,24.04598635488699,22.857950028058973,23.61336150576075,23.932295604715083,23.27084662548752,23.340953258118173,23.24641592414487,23.27981261230974,23.096220443197133,23.836763052888276,23.32930683514391,23.299490416755898,23.722652505767822,23.63936199665767,22.959224751655537,21.99962993544425,23.882440932559074,24.98784180885789,23.086545471036338,22.966312239579644,22.396550213151478,22.624807921472055,22.217721123645997,11.034022431547111,0.1587483418714489,True,False,Unidentified
vl_217,0.859,731.01324,-,Unidentified,Unidentified,71,14.378690901815679,14.392509488226699,14.498720014360707,22.65274806580186,24.693918870720168,25.6988446307951,25.478041730083053,25.565134655547403,25.81792810089837,25.555295221143222,25.36804281683356,25.42131988176752,25.437463431265506,25.813381354059214,26.145166060536507,26.503245808220775,14.434665114787315,14.591263023258657,13.853046379926353,17.72152260774619,25.091432868435685,25.235026092290273,25.62074464252421,25.272119498966013,24.853806379835817,25.155527863790898,25.863342345514102,26.087867829659533,26.092866954187922,25.98990973541622,25.64259067512777,25.961233491891605,26.045930508795244,26.050199666566137,25.779505166799353,25.92432861754817,26.11210042445092,25.699226358844452,26.051387272253514,25.967258605653836,25.517274078131965,26.1098035610712,25.817976048522535,25.954306384447538,25.858416061133163,25.77047668681122,25.675804866218847,25.519692360658667,25.545233287880308,25.40088972297592,25.936005143769925,26.083832702305898,25.940787582121803,10.924418519460772,0.2303665863288812,True,False,Unidentified
vl_242,0.874,218.94446,+,Unidentified,Unidentified,23,15.72953124328991,15.748211592970062,15.740479997036074,18.813412221118753,19.575980472550732,20.114248593075985,20.30378109949207,20.247754927817017,20.25764492872416,19.925638592721658,19.928116420236524,20.22990612695116,19.84683568018384,19.831128089725038,20.83207182817699,21.114390682580268,15.608879727487153,15.678234703234619,14.431570358103823,14.91703480123074,19.629902097675398,19.573236149270887,19.914589196103837,19.377907818026063,19.45060865372636,20.01506740503471,20.095319067011364,20.63784420818927,20.583043689745615,21.259255764596308,20.14349343505386,22.353475797947663,21.047464306568227,20.56089663898253,20.768096962926542,20.886884565779905,20.189492278197527,20.447676876289137,20.367326620731593,21.00950142616913,19.841704665384523,20.729031234994213,20.66722967062875,19.98359512361312,19.81667751795991,20.089797255495853,20.61435610540981,20.275730787902987,19.597265101582106,20.195239868773342,20.21505469690275,20.660021927852693,19.86679340861414,13.222164353483826,0.14393362785466665,True,False,Unidentified
vl_243,0.875,464.95547,+,Unidentified,Unidentified,78,15.731208626684351,15.749888976326773,15.742157380552191,22.31368892898175,23.99950578942718,24.99660335664313,24.89006143720769,24.89207878549712,24.887221816744564,24.624323109532202,24.544839442350373,24.689408778916974,24.556015836646417,24.22413884095781,25.403905665192262,25.709693050817176,15.610557110804113,15.679912086526086,14.4332477413592,14.932703567598773,23.657118495737016,23.620383815898986,25.009186796946988,24.182423876788807,23.27185757402208,24.634911392262836,24.694856566844393,25.263225396021163,25.30129966958832,25.66703370571805,24.82899094417403,26.380301593041015,25.401485526121633,25.154418557838664,25.37078021802848,25.343471715583846,25.111518789348196,25.053376230300298,25.238746085811584,25.436359662167384,24.60019034388159,25.275643207862164,25.262249798274357,25.010802181106104,24.644176270195093,24.584250464768,25.04101238727172,24.9632286608582,24.357485578337,24.84215695265137,25.136201880946437,25.47252195033841,24.88979369625797,11.096744323717521,0.11605490655204968,True,False,Unidentified
